Сцена,Описание места действия,Описание кадра,Титры,Персонаж,Действие,Эмоция,Реплика,Звуки
7, - Мастерская. В ней находится зона для тестов.,Управление игроком. Перед игроком - зона для тестов с кубом под действием Валладия-1. Одновременно с репликами Мастера появляются титры.,"Запрыгните на предмет, чтобы поехать на нем.",Мастер,Стоит на месте и следит за действиями ГГ.,Полон энтузиазма,"Смотрите-ка, и правда работает! А теперь, давай проверим, достаточно ли жидкость концентрированная. Запрыгни-ка на него!",
,,,,ГГ,Подходит к предмету и запрыгивает на него. Предмет уезжает вперед.,Спокойная,,
8, - Мастерская. В ней находится зона для тестов.,Управление игроком. Перед игроком - зона для тестов с кубом под действием Валладия-1. Одновременно с репликами Мастера появляются титры.,,Мастер,Стоит на месте и следит за действиями ГГ.,Полон энтузиазма,"Отлично! Жми на кнопку, едем дальше. И простой механик может совладать с вашими Валладием и его изотопами!","Звук нажатия на кнопку. Звук появления предмета маленького размера (вероятно, падение)."
,,,,ГГ,"Идет к кнопке и нажимает ее. После того, как кнопка нажата, в зоне для тестов появляется предмет маленького размера.",Спокойная,,
9, - Мастерская. В ней находится зона для тестов.,Управление игроком. Перед игроком - зона для тестов с маленьким предметом. Титры появляются после реплики ГГ.,"Будьте осторожны с маленькими скользкими предметами, берегите себя и свою голову!",Мастер,,Хитрая,"(хитро, задорно, будто бы пытаясь подбить героя на какую-нибудь авантюру)  Посмотрим, как поведет себя предмет поменьше - сможешь ли ты покатиться и на нем?",
,,,,ГГ,Применяет изотоп на маленький предмет. Наступает на маленький предмет. Поскальзывается и падает на спину.,Зло-ироничная,Ай! Это было больно... наверное,Звук падения робота на пол.
,,,,Мастер,Смеется.,Хитрая,"Хавхвхапх.... ладно хвхахв... Ладно, извини. Да, не покатился. Кто бы мог предположить... Может, ты просто неправильно встал?",
,,,,ГГ,Встает с пола.,Серьезная,Как будто бы правильнее было некуда.,
,,,,Мастер,"Выпрямляется, откашливается.",Ехидно-грустная,"Ладно, ладно, уже и пошутить нельзя.",
,,,,Мастер,Стоит на месте и следит за действиями ГГ.,Спокойная,"Давай, по протоколу еще последний предмет! Жми на кнопку.",Звук шагов ГГ. Звук нажатия на кнопку. Звук появления большого предмета.
,,,,ГГ,Идет к кнопке и нажимает её. В зоне появляется большой предмет.,Спокойная,,
10, - Мастерская. В ней находится зона для тестов.,Управление игроком. Перед игроком - зона для тестов с большим предметом и хрупкой стеной.,,Мастер,Стоит на месте и следит за действиями ГГ.,Спокойная,"Ну, на такого здоровяка запрыгнуть вряд ли получится, так что просто толкни его.",Звук действия Атомайзера. Звук удара предмета о стену.
,,,,ГГ,Применяет изотоп на большой предмет. Толкает предмет своим телом в сторону стены. Предмет катится в сторону стены и оставляет пробитие.,Спокойная,(механическим голосом) Есть пробитие!,
,,,,Мастер,"Пугается от того, что предмет повредил стену.",Напуганная,"Не так сильно, дубина, а то всю мастерскую мне щас разнесешь!",
11, - Мастерская. В ней находится зона для тестов.,Управление игроком. Перед игроком - зона для  тестов.,,ГГ,Поворачивается к Мастеру.,Спокойная,Что там по протоколу?,
,,,,Мастер,"Стоит на месте и смотрит в пространство перед собой, заполняя протокол в своей голове.","Погружен в себя, что-то просчитывает в уме","(будто бы про себя) По протоколу... Да, по протоколу...",
,,,,Мастер,"Стоит на месте, приходит в себя и смотрит на ГГ. ",Полон энтузиазма,По протоколу все выполнили! Вот это пушка. Чудо-пушка! Ты дашь ей имя? Как рыцари своим мечам в Средневековье?,
,,,,ГГ,Стоит на месте и смотрит на Мастера.,Спокойная,Слышал что её называют Атомайзером - мне нравится!,
,,,,Мастер,Стоит на месте и смотрит на ГГ. Жестами выражает стремление вперед.,Полон энтузиазма,"А мог бы назвать Экскалибур... Но, ладно, твой выбор...(немного рисуясь, преувеличенно важно) Что же, рыцарь Атомайзера, вперед, на подвиги! Только в начале нашего приключения пойдем заправимся отборным Валладием.",
,,,,Система оповещения,Включаются красные мигающие огни и сирена. Сообщение оповещения повторяется по кругу.,-,Внимание! В лаборатории возникла чрезвычайшая ситуация! Всем сохранять спокойствие и направляться в жилую зону! Внимание!,Звук сирены. Нарастающий топот ног.
13,Черный экран,,,,,,,
Линейное прохождение по сценарию.,,,,,,,,
1,Жилая зона. Комната ГГ.,Управление игроком. Перед ГГ - его комната. Вместе с репликами ГГ появляются задачи.,(задача) Отыщите товарищей.,ГГ,Направляется к выходу из комнаты. Открывает дверь и выходит в коридор.,Спокойная,"Надеюсь, сегодня - тот день, когда это все наконец закончится... Пора идти, товарищи, наверное, уже заждались",Звук шагов ГГ. Звук открывания двери.
2,Жилая зона. Коридор.,Управление игроком. Перед ГГ - коридор. У выхода из комнаты слева стоит Веселый друг ГГ.,,ГГ,Выходит из комнаты.,Спокойная,,"Звуки шагов ГГ. Звуки прыжка с контейнера (прыжок, грохот контейнера)."
,,,,Финн Маккарти,"Сидит на огромном контейнере слева от выхода из комнаты ГГ, задумавшись. Как только ГГ выходит, спрыгивает с контейнера.",Воодушевленная,"Все, готов? Наконец-то, на-ко-нец-то! (с легким выдохом) Надеюсь, все пройдет успешно и ты доберешься до цели. (снова радостно) Огава уже подготовил систему связи! Идем.",
3, - Жилая зона. Коридор.,Управление игроком. Перед ГГ - коридор. Немного слева впереди идет Веселый друг ГГ.,(задача) Отправляйтесь к *Имя серьезного друга ГГ*,Финн Маккарти,Уверенно направляется вперед по коридору.,"Серьезная, озорная","(Серьезно) Дааа, эту систему не просто было настроить. (Весело) Но теперь работает как швейцарские часы! Мы проверяли с разных точек жилой зоны, и все работает!",Звуки шагов ГГ. Звуки шагов друга ГГ.
,,,,ГГ,Следует за своим другом.,Спокойная,"Это хорошо, жаль только что отсутствие коммуникации с другими выжившими не единственная наша проблема.",
,,,,Финн Маккарти,Уверенно идет по коридору.,Воодушевленная,"Даа, ещё и эта треклятая коррозия! Но, надеюсь, тебе она по плечу. В конце концов, эта SynD вбухала немало денег в наши тела, да? Материал из прочнейших, просто так не разложишь, если не окажешься в гуще из этих частиц, конечно.",
,,,,ГГ,Следует за своим другом.,Спокойная,"Ну, как раз для того чтобы избежать этого, я и отправляюсь в мастерскую за оборудованием.",
,,,,Финн Маккарти,Уверенно идет по коридору.,"Серьезная, раздосадованная","(все больше распаляясь) Этот чёртов эксперимент перевернул все с ног на голову! Где теперь наши товарищи? Почему мы в гордом одиночестве были вынуждены решать эти горы уравнений? Да я ненавижу треклятые уравнения! Видеть их больше не могу. (немного задумавшись) С товарищами, надеюсь, все в порядке.",
,,,,ГГ,Следует за своим другом. К этому моменту герои доходят до небольшого помещения перед выходом из жилой зоны.,Спокойная,"Единственное, что нам остается - это надеяться на лучшее и делать все что в наших силах.",
4,Жилая зона. Помещение перед выходом в Атриум.,Управление игроком. Вид помещения перед выходом в Атриум. Чуть слева в кадре идет Веселый друг ГГ.,(задача) Отправляйтесь к *Имя серьезного друга ГГ*,Такеши Огава,"Задумавшись, стоит перед столом, на котором разложено оборудование для связи. В его руках устройство связи, прикрепленное проводом к станции для приема сигнала на столе. Когда приходят товарищи, поворачивается к ним.",Спокойная,,Звук шагов ГГ. Звук шагов Веселого друга ГГ. Звук работы станции для связи.
,,,,Финн Маккарти,"Видит Серьезного друга ГГ и направляется в его сторону, приветливо разводя руки.",Воодушевленная,"А вот и мы! Ты ты уже заждался, да?",
,,,,Такеши Огава,Кивает товарищам в знак приветствия.,Спокойная,"(обращаясь к Веселому другу ГГ) Заждался.(обращаясь в игроку) Рад, что ты готов! Бери рацию, протестируем работу.",
5, - Жилая зона. Помещение перед выходом в Атриум.,Управление игроком. Вид помещения перед выходом в Атриум. Чуть слева в кадре идет Веселый друг ГГ.,(задача) Возьмите рацию и протестируйте ее.,ГГ,Направляется к японцу. ,Спокойная,"Финн сказал, что работает как часы.",Звук шагов ГГ. Звук работы станции для связи.
,,,,Финн Маккарти,Останавливается недалеко от стола.,Озорная,"А то! Дело рук самого Огавы. Умеют китайцы работать, да?",
,,,,Такеши Огава,Поворачивается к столу.,Спокойная,Я японец.,
,,,,ГГ,Подходит к столу и берет рацию со стола. Устанавливает ее куда-то в районе головы.,Спокойная,,
,,,,Такеши Огава,"Нажимает на кнопку и начинает говорить. Его голос звучит как из его уст, так и будто бы в ухе ГГ.",Спокойная,Слышно.,
,,,,ГГ,Стоит у стола.,Спокойная,Слышно.,
,,,,Такеши Огава,Отпускает кнопку.,Спокойная,"Отлично. Мы уже проверили с Финном, на расстоянии также работает. Думаю, ты можешь отправляться.",
,,,,Такеши Огава,Стоит недалеко от стола.,Спокойная,"Мы будем здесь, читать тебе на ухо стихи и давать непрошенные советы. Ты тоже не стесняйся обращаться за помощью!",
,,,,ГГ,Стоит у стола.,Спокойная,"Ага, непременно.",
,,,,Такеши Огава,Стоит у стола.,Спокойная,"Итак, теперь к задачам. Как мы помним, тебе нужно добраться до центральной лаборатории, чтобы нейтрализовать изотоп Валладия Валладий-5, но в текущем состоянии ты даже близко к нему не подберешься - растворишься в воздухе под действием коррозии. Поэтому первым делом нужно добраться до мастерской и раздобыть там оборудование, которое позволить покрыть твое тело защитным слоем. *Имя мастера* уже все подготовил, осталось только забрать.                                                                                                   ",
,,,,Такеши Огава,Стоит у стола.,Спокойная,"Большинство систем станции вышли из строя, везде царит хаос и многие пути перекрыты. Первым твоим пунктом станет медицинский отсек - и уже через него пойдешь в мастерскую. После того как получишь защиту, можешь отправляться на склад и через него в лабораторию. Пока план такой.",
,,,,Финн Маккарти,Стоит недалеко от стола.,Воодушевленная,Найдешь что-то интересное - неси нам! (с легкой надеждой в голосе) Найдешь кого-то - тоже отправляй к нам.,
,,,,ГГ,Стоит у стола.,Уверенная,"Хорошо. (выдыхая, как перед выходом на сцену) Ну, вперед! (немного иронично) Поехали, как говорили великие!",
6, - Жилая зона. Помещение перед выходом в Атриум.,Управление игроком. Вид помещения перед выходом в Атриум.,(задача) Отправляйтесь в медицинский отсек.,ГГ,Идет к выходу из жилой зоны.,Спокойная,,Звук шагов ГГ.
,,,,Финн Маккарти,"Стоят у стола. Как только ГГ оказывается в дверном проеме, говорят хором.",Полная надежды,Успехов!,
,,,,Такеши Огава,,Спокойная,,
7,Атриум.,Управление игроком.,(задача) Отправляйтесь в медицинский отсек.,ГГ,Идет к медицинскому отсеку.,Спокойная,,Звук шагов ГГ.
8,Помещение перед медицинским отсеком.,Управление игроком.,(задача) Отправляйтесь в медицинский отсек.,ГГ,Заходит в помещение перед медицинским отсеком.,Спокойная,,Звук шагов ГГ. Звуки взаимодействия ГГ с окружением. Звук пробития и разрушения двери.
,,,,ГГ,Подходит к запертой двери в медицинский отсек.,Раздосадованная,"Черт, дверь заклинило!",
,,,,Финн Маккарти,Говорит по радио.,Воодушевленная,Тут поможет только старая добрая грубая сила!,
,,,,ГГ,Решает головоломку с пробитием двери.,Спокойная,,
,,,,ГГ,Завершает решение головоломки. Предмет пробивает дверь.,Спокойно-воодушевленная,Ура!,
,,,,Финн Маккарти,,Радостная,"Вот, я же говорил! Чем больше шкаф, тем громче падает... и выбивает дверь!",
9,Медицинский отсек. Фойе,Управление игроком.,(задача) Найдите проход в Мастерские.,ГГ,Идет по фойе в сторону Палат. Исследует территорию.,Спокойная,,Звук шагов ГГ.
"Свободное исследование игрока. Дальнейшие сцены могут происходить в любом порядке, независимо от разделов. Условия активации сцен описаны в графе Действие и выделены жирным.",,,,,,,,
Раздел I. Открытие двери Медицинского отсека.,,,,,,,,
10,Медицинский отсек. Палаты.,Управление игроком. Вид Палат в хаосе.,(задача) Найдите проход в Мастерские.,Такеши Огава,"Говорит по рации, когда ГГ замечает нужный проход.",Слегка взволнованная,"Вон там, слева... это, должно быть, проход в Мастерскую. Он-то нам и нужен.",
,,,,ГГ,Первый раз подходит к двери. У него нет хотя бы одного нужного предмета для открытия двери. Проверяет открытие двери на кнопку.,Спокойная,"Механизм не работает. Кажется, у него нет батареи.",Звук шагов ГГ. Звук взаимодействия с кнопкой.Звук шума рации (перед началом реплики Веселого друга ГГ).
,,,,Финн Маккарти,Говорит по рации.,Задумчивая,"Да и не только батареи. Дверь заблокирована из-за протокола чрезвычайной ситуации. Поэтому тебе нужна и заодно ключ-карта от главной администрации. Судя по отчету, весточка с посылкой была отправлена... Но долетела ли?",
11,Медицинский отсек. Станция пневмопочты.,Управление игроком. Вид Станции пневмопочты в хаосе.,(задача) Откройте проход в Мастерские. ИЛИ (задача) Найдите проход в Мастерские.,ГГ,Первый раз заходит в помещение Станции пневмопочты.,Спокойная,"(реплика серьезного друга гг) это одно из отделений выдачи посылок пневмопочты. Мне кажется, или там застряла ключ-карта, которая нам и нужна?",Звук шагов ГГ. 
12, - Медицинский отсек. Станция пневмопочты.,Управление игроком. Вид Станции пневмопочты в хаосе.,(задача) Откройте проход в Мастерские. ИЛИ (задача) Найдите проход в Мастерские.,ГГ,Находит ключ-карту. Решает головоломку с получением ключа-карты.,Спокойная,,Звук шагов ГГ. Звуки падения предметов. Звуки применения Атомайзера.
,,,,ГГ,Получает ключ-карту.,Спокойная,"Что ж, ключ-карта есть",
13,Медицинский отсек. Комната отдыха.,Управление игроком. Комната отдыха в разрушении. Вдали виднеется настенный фонтан.,(задача) Откройте проход в Мастерские. ИЛИ (задача) Найдите проход в Мастерские.,Финн Маккарти,Первый раз заходит в Комнату отдыха.,Спокойная,"Раньше здесь был фонтан. Судя по хаосу, кому-то он не помог успокоиться.",Звуки шагов ГГ.
14, - Медицинский отсек. Комната отдыха.,Управление игроком. Комната отдыха в разрушении.,(задача) Откройте проход в Мастерские. ИЛИ (задача) Найдите проход в Мастерские.,ГГ,Находит батарею. Решает головоломку с получением батареи.,Спокойная,,Звук шагов ГГ. Звуки падения предметов. Звуки применения Атомайзера. Звук открывания шкафчика с кнопкой.
,,,,Финн Маккарти,Получает батарею.,Спокойная,"Такие батареи подходят для многого, в том числе для дверных механизмов. В каких-то деталях SynD весьма практичны.",
15,Медицинский отсек. Палаты.,Управление игроком. Вид дверей из Палат в Мастерские.,(задача) Откройте проход в Мастерские.,ГГ,"Подходит к двери НЕ первый раз. У него нет хотя бы одного предмета, чтобы открыть двери. Нажимает на кнопку. Дверь не открывается.",Спокойная,"Видимо, чего-то всё-таки не хватает.",Звук шагов ГГ. Звук нажатия на кнопку.
16, - Медицинский отсек. Палаты.,Управление игроком. Вид дверей из Палат в Мастерские.,(задача) Откройте проход в Мастерские. ИЛИ (задача) Найдите проход в Мастерские.,ГГ,"Подходит к двери. У него есть все нужные предметы. Нажимает на кнопку. Механизм двери работает, но дверь не сдвигается, а лишь чуть-чуть дергается.",Спокойная,"Работает! Но механизм, видимо, разложился, ему не сдвинуть просто так эту тяжелую дверь. Нужно что-то придумать.",Звук шагов ГГ. Звук нажатия на кнопку. Звук работы механизма открывания двери. Звук двери по полу.
17, - Медицинский отсек. Палаты.,Управление игроком. Вид дверей из Палат в Мастерские.,(задача) Найдите способ облегчить работу механизму по открыванию двери.,ГГ,"Решает головоломку с открыванием двери. Нажимает на кнопку. Дверь начинает медленно открываться. Как только действие изотопа на предмет, подложенный под дверь, прекращается, дверь перестает двигаться и мехаанизм спустя время перестает работать (его нужно запускать заново).",Воодушевленная,"Да! Давай, открывайся!",Звук шагов ГГ. Звук нажамия на кнопку. Звук работы механизма открывания двери. Звук двери по полу (дверь движется).
18, - Медицинский отсек. Палаты.,Управление игроком. Вид дверей из Палат в Мастерские.,(задача) Найдите способ облегчить работу механизму по открыванию двери.,ГГ,Дожидается полного открытия двери.,Воодушевленная,Наконец-то! Она открывалась вечность. Я иду в Мастерские. Прием?,Звук шагов ГГ. Звук работы механизма открывания двери. Звук двери по полу (дверь движется). Звук работы рации перед репликой Веселого друга ГГ.
,,,,Финн Маккарти,Говорит по рации.,Воодушевленная,"Гений! (в сторону) Окава, ты слышал, все идет по плану! Алекс направляется к Мастерским!",
,,,,Такеши Огава,Слышен по рации издалека.,Спокойная,"Алекс, я рад, что все получилось! Продолжаем движение!",
Раздел II. Противодействие Психу и получение нового изотопа Валладия.,,,,,,,,
19,Медицинский отсек. Палаты.,"Управление игроком. Вид Палат в хаосе. На полу сидит Псих и дремлет, обнимая колбу с Валладием-5.",(задача) Откройте проход в Мастерские. ИЛИ (задача) Найдите проход в Мастерские.,Псих,"Сидит в тени у стены, обессиленный. В его руках ярко-светящаяся колба с Валладием-2.",Опустошенная,Залить в себя… и вспыхнуть… стать пламенем… истлеть… Отбросить мысли… и остаться… и просто ждать… пока не развалюсь(раскрошусь)… (повторить),Звук шагов ГГ. Звук доставания колбы из рук Психа. Звук просыпания Психа. Звук подъема Психа. Звуки шагов Психа.
,,,,ГГ,Подходит к Психу и нажимает на F (интеракция). Аккуратно достает из рук Психа колбу.,Спокойная,"(тихо, стараясь не разбудить) Это мне надо, это мне очень пригодится.",
,,,,ГГ,Отходит от Психа и осматривает колбу.,Спокойная,"Судя по всему, это изотоп Валладий-2. Надо вернуться и установить его в Атомайзер, лишним точно не будет.",
,,,,Псих,Замечает отсутствие колбы и начинает вставать.,Удивленная,Ты... решил за меня… Ты... ,
,,,,Псих,Хватается за голову и кричит,Гневная,Ты отнял у нас выбор! Ты не имеешь права! Это наше! НАШЕ! МЫ должны были решить! МЫ! Не ты!,
,,,,ГГ,"Поворачивается и смотрит на то, как Псих поднимается (управление игрока пропадает).",Спокойная,,
,,,,Финн Маккарти,Говорит по рации.,Напуган,(Вскрикивая) Беги!,
,,,,Псих,Идет на ГГ.,В гневе,Мы заберем её обратно даже если для этого придётся тебя разобрать!,
,,,,ГГ,Убирает колбу в инвентарь. Убегает от Психа. (управление игроку возвращено),Спокойная,,
,,,,Финн Маккарти,"Говорит по рации, пока ГГ убегает от Психа.",Напуган,"Скорей беги назад к выходу, мы закроем за тобой дверь!",
20,Медицинский отсек.,Управление игроком. Спокойный медицинский отсек в хаосе.,(задача) Откройте проход в Мастерские. ИЛИ (задача) Найдите проход в Мастерские.,ГГ,"Находится в безопасности, скрывшись от Психа.",Спокойная,"Мда. Он теперь где-то ходит, нужно быть осторожнее.",Звук шагов Психа где-то в отдалении.
,,,,Псих,"Потерял игрока из виду. Ходит, оглядывается и кричит (вдалеке от игрока).",В гневе,"Ты думаешь, что спас нас? Нет. Ты просто взял и унес ее! Как вор, как трус! Ты просто приговорил себя. ",
21,Жилая зона. Помещение перед выходом в Атриум.,"Управление игроком. Вид помещения перед выходом в Атриум. Серьезный друг ГГ сидит на полу в дальнем углу и смотрит в пространство, задумавшись. Веселый друг ГГ сидит перед станцией для связи.",(задача) Откройте проход в Мастерские. ИЛИ (задача) Найдите проход в Мастерские.,ГГ,Заходит в Жилую зону.,Спокойная,,Звук шагов ГГ. Звук установки нового изотопа в Атомайзер.
,,,,Финн Маккарти,"Сидит, развалившись на стуле, перед станцией для связи.",Взволнованная,"А вот и ты! Слава богу, тебе удалось от него сбежать!",
,,,,ГГ,Подходит к Веселому другу ГГ и протягивает ему Атомайзер и колбу. Поворачивает голову и смотрит на Серьезного друга ГГ (игрок теряет управление в этот момент).,Серьезная,"Я не верю, что такая перемена может произойти с ученым. Он ведь упомянул, что создал Валладий-2? Кажется, это Уильям Риверс, он же руководил разработкой?",
,,,,Такеши Огава,Продолжает сидеть на полу в дальнем углу и отчужденно смотреть в пространство.,Спокойная,Всякое случается. Но ничто живое не должно так страдать. Влияние коррозии и правда ужасно.,
,,,,Финн Маккарти,Что-то делает с Атомайзером.,Воодушевленная,Зато теперь можем установить тебе новый изотоп!,
,,,,Финн Маккарти,Заканчивает улучшение Атомайзера. (управление возвращается игроку),Спокойная,"Всё, готово! Теперь можешь менять изотопы по своему желанию. Иди теперь в тестовую зону, проверь, как он там работает. Вообще изотоп должен поднимать температуру предметов.",
22,Жилая зона. Помещение для тестов.,"Управление игроком. Вид тестовой комнаты: кнопка, при нажатии на которую появляются предметы, и зона для тестов.",(задача аналогична предыдущей). (подзадача) Протестируйте новый изотоп в тестовой комнате.,ГГ,Заходит в комнату для тестов.,Спокойная,"Ну что ж, попробуем.",Звук шагов ГГ. Звук открывания и закрывания двери.
23, - Жилая зона. Помещение для тестов.,"Управление игроком. Вид тестовой комнаты: кнопка, при нажатии на которую появляются предметы, и зона для тестов.","Нажмите на кнопку, чтобы появился предмет.",ГГ,Нажимает на кнопку. В зоне для тестов появляются предметы.,Спокойная,"Итак, тестируем изотоп Валладий-2.",Звук нажатия на кнопку Звук работы Атомайзера. Звук смены изотопа.
,,,"Чтобы сменить изотоп, покрутите колесико мыши или воспользуйтесь кнопками 1-2-3-4.",ГГ,Переключает изотоп.,Спокойная,,
,,,Нанесите изотоп на предмет.,ГГ,Наносит изотоп на предмет. Предмет нагревается и плавит предметы вокруг.,Спокойная,"Даа, всё так, да, правильно. Значит, работает. Нужно проверить, что будет, если смешать изотопы.",
,,,Нанесите второй изотоп на предмет.,ГГ,Сменяет изотоп и наносит изотоп Валладий-1 на предмет под действием Валладия-2. Предмет начинает левитировать.,Спокойная,"А вот это уже очень интересно, нужно проверить, можно ли взлететь, стоя на таком предмете.",
,,,,ГГ,Летит,Веселая,"Уоу, а это довольно опасно, повезло что я не боюсь высоты!",
,,,,ГГ,Выходит из зоны тестирования.,Спокойная,,
25, - Медицинский отвек. Кабинет терапевта.,Управление игроком. Вид кабинета терапевта. Большой предмет падает на хрупкий пол и пробивает дыру.,(задача) Откройте проход в Мастерские. ИЛИ (задача) Найдите проход в Мастерские.,ГГ,Смотрит на получившуюся дыру в полу.,Оценивающая,"Видимо, это технический туннель, использующийся для починки системы электропроводки.",Звук падения большого предмета. Звук проламывания пола.
26, - Медицинский отсек. Кабинет терапевта.,"Управление игроком. Вид кабинета терапевта. В глубине кабинета виднеется дыра в полу. Все готово к тому, чтобы толкнуть туда Психа.",(задача) Откройте проход в Мастерские. ИЛИ (задача) Найдите проход в Мастерские.,ГГ,"Издает шум, чтобы противник пришел, или дожидается, когда в процессе патрулирования Псих окажется в нужном месте.",Спокойная,,Звук шагов Психа. Звук движения предмета по полу. Звук движения робота по полу. Звук столкновения большого предмета со стеной. Звук падения робота в дыру.
,,,,Псих,Захожит в Кабинет терапевта и оказывается в нужном месте.,В гневе,"Здесь всё и кончится. Ты вернёшь нам то, что забрал.",
,,,,ГГ,"Толкает большой предмет, чтобы толкнуть Психа в дыру в полу.",Спокойная,,
,,,,Псих,Падает в дыру в полу.,В отчаянии,"Ублюдок! Тварь! Ты оставишь нас здесь медленно умирать?! Мразь! ... НЕТ!... Нет... Ты не посмеешь... Я даже не знаю, сколько это займёт. Прошу. Никто больше не придёт. Никто мне не поможет кроме тебя. Прошу, я не хочу просто ждать, пока не исчезну... Прошу...",
,,,,ГГ,"Подходит к дыре (вероятнее всего, игрок так сделает).",Меланхоличная,"И как такое могло произойти... Очень толковый ученый. Такой ум не должен поддаваться панике. Такой ум не может умереть. (чуть более уверенно, будто убеждая себя в успехе) Я думаю, все вернется в норму и мы ему поможем. Я верю в это.",
,,,,Такеши Огава,Говорит по рации.,Спокойная,"Да. Никто такого не заслуживает. И еще меньше планета заслуживает разложения, которое вызывает Валладий-5.",
,,,,ГГ,Уходит дальше решать головоломки.,Спокойная,,
"Завершение Главы I. Происходит после того, как игрок открыл дверь из Палат в Мастерские (Сцена 18).",,,,,,,,
27,Медицинский отсек. Коридор за дверью из Палат в Мастерские.,"Коридор, уходящий вглубь станции к Мастерским.",,ГГ,Уверенно идет по коридору вперед.,Спокойная,,
28,Экран завершения демо,,,,,,,
